Chamber,Day,Committee Name,Bill Number,Bill Author,Caption,Stance,Action
House,Thursday,S/C on Juvenile Justice,HB 1631,Gámez,Relating to the duration of a child's detention following a detention hearing and a study on the effects of detention orders in a juvenile court proceeding.,,
House,Thursday,S/C on Property Tax Appraisals,HB 148,Turner,"Relating to the qualification of candidates for, and the training and education of members of, the board of directors of an appraisal district.",,
House,Thursday,S/C on Property Tax Appraisals,HB 203,Goodwin,Relating to a limitation on increases in the appraised value for ad valorem tax purposes of certain leased residential real property.,,
House,Thursday,S/C on Property Tax Appraisals,HB 360,Vasut,Relating to the authority of an appraisal review board to direct changes in the appraisal roll and related appraisal records if a residence homestead is sold for less than the appraised value.,,
House,Thursday,S/C on Property Tax Appraisals,HB 552,"González, Mary",Relating to a study by the Texas A&M AgriLife Extension Service to determine standards for the appraisal for ad valorem tax purposes of certain agricultural land used to raise or keep bees.,,
House,Thursday,S/C on Property Tax Appraisals,HB 1244,Guillen,Relating to the eligibility of land to continue to be appraised for ad valorem tax purposes as qualified open-space land following a transfer to a person who uses the land in materially the same way as the former owner and to late applications for such appraisal filed by the new owner of the land.,,
House,Thursday,S/C on Property Tax Appraisals,HB 1284,Geren,Relating to the duty of an appraisal review board to determine a motion or protest filed by a property owner and the right of the owner to appeal the board's determination.,,
House,Thursday,S/C on Property Tax Appraisals,HB 1533,Button,Relating to the system for appraising property for ad valorem tax purposes.,,
House,Thursday,S/C on Property Tax Appraisals,HJR 30,Goodwin,Proposing a constitutional amendment to authorize the legislature to provide for a limitation on the maximum appraised value for ad valorem tax purposes of certain leased residential real property.,,
Senate,Wednesday,Finance,SB 266,Perry,Relating to certain tax and fee collection procedures and taxpayer suits.,,
Senate,Wednesday,Finance,SB 1018,Huffman,Relating to distribution of state traffic fine revenue received by the comptroller.,,
Senate,Wednesday,Finance,SB 1415,Hughes,"Relating to the sales tax exemption period for clothing, footwear, and certain school-related items.",,
Senate,Wednesday,Finance,SB 1527,West,"Relating to the administration of, contributions to, and benefits under the public retirement systems for police and firefighters in certain municipalities.",,
Senate,Wednesday,Finance,SB 1737,Huffman | et al.,Relating to service r irement benefits payable by the Employees R irement System of Texas to certain law enforcement officers and custodial officers.,,
Senate,Wednesday,Finance,SB 1738,Huffman,Relating to the resumption of service by certain judicial officers under the Judicial Retirement System of Texas Plan Two.,,
Senate,Wednesday,Finance,SJR 57,Huffman,Proposing a constitutional amendment prohibiting the use of state funds to pay for the obligations of a local public retirement system.,,
Senate,Wednesday,Jurisprudence,SB 711,Hughes,"Relating to property owners' associations, including condominium unit owners' associations.",,
Senate,Wednesday,Jurisprudence,SB 746,Zaffirini,Relating to guardianship matters.,,
Senate,Wednesday,Jurisprudence,SB 942,Hughes,"Relating to a court order for retroactive child support, including for retroactive child support beginning on the date of the child's conception.",,
Senate,Wednesday,Jurisprudence,SB 1403,West,"Relating to the collection, modification, and enforcement of child support, and to certain procedures for child support cases and orders.",,
Senate,Wednesday,Jurisprudence,SB 1404,West,Relating to requirements for certain orders and judgments rendered in a suit affecting the parent-child relationship.,,
Senate,Wednesday,Jurisprudence,SB 1448,Hughes,Relating to decedents' estates and other matters involving probate courts.,,
Senate,Wednesday,Jurisprudence,SB 1536,Zaffirini,Relating to training on dementia and Alzheimer's disease for certain guardians.,,
Senate,Wednesday,Jurisprudence,SB 1559,Zaffirini,Relating to the transfer of a protective order.,,
Senate,Wednesday,Natural Resources,SB 2188,"Hinojosa, Adam",Relating to space flight activities.,,
Senate,Wednesday,Natural Resources,SB 2230,"Hinojosa, Adam",Relating to the closure of beaches for space flight activities; creating a criminal offense.,,
Senate,Wednesday,Natural Resources,SB 1763,Hughes,Relating to the production and ownership of brine.,,
Senate,Wednesday,Natural Resources,SB 879,Birdwell,Relating to an exemption for drillers or operators of closed-loop geothermal injection wells from certain requirements applicable to persons involved in activities under the jurisdiction of the Railroad Commission of Texas.,,
Senate,Wednesday,Natural Resources,SB 1147,Birdwell,Relating to the withdrawal of the State of Texas from the Interstate Mining Compact.,,
Senate,Thursday,Border Security,SB 825,Middleton,"Relating to an annual study on the economic, environmental, and financial impact of illegal immigration in this state.",,
Senate,Thursday,Education K-16,SB 37,Creighton,"Relating to the governance of public institutions of higher education, including review of curriculum and certain degree and certificate programs, the powers and duties of a faculty council or senate, training for members of the governing board, and the establishment of the Office of Excellence in Higher Education.",,
Senate,Thursday,Education K-16,SB 1489,Bettencourt,"Relating to the governance of public institutions of higher education, including the establishment of a faculty council or senate and the decision-making authority of public institutions of higher education.",,
Senate,Thursday,Education K-16,SB 452,Middleton,Relating to requiring the approval of the governing board of a public institution of higher education for the hiring of certain institution employees.,,
Senate,Thursday,Education K-16,SB 724,Kolkhorst,Relating to providing in-person meeting requirements for governing boards of public institutions of higher education; authorizing a civil penalty.,,
Senate,Thursday,Education K-16,SB 1067,Middleton,"Relating to prohibiting public institutions of higher education and employees of public institutions of higher education from soliciting or accepting gifts, grants, donations, or investments from certain foreign entities.",,
Senate,Thursday,Education K-16,SB 1741,Parker | et al.,Relating to measures to prevent espionage and intellectual property theft at public institutions of higher education.,,
Senate,Thursday,Education K-16,SB 1273,Hughes,Relating to establishing the Higher Education Research Security Council.,,
Senate,Thursday,State Affairs,SB 16,Hughes | et al.,Relating to requiring a person to submit proof of citizenship to register to vote; creating criminal offenses.,,
Senate,Thursday,State Affairs,SB 76,Hall,Relating to elimination of the countywide polling place program.,,
Senate,Thursday,State Affairs,SB 310,Hughes,Relating to the determination of a majority vote in certain elections.,,
Senate,Thursday,State Affairs,SB 311,Hughes,Relating to the writ power of the Texas Supreme Court.,,
Senate,Thursday,State Affairs,SB 396,Kolkhorst | et al.,Relating to confirmation of a voter's residence by a voter registrar.,,
Senate,Thursday,State Affairs,SB 505,Bettencourt | et al.,Relating to processes to address election irregularities; providing a civil penalty.,,
Senate,Thursday,State Affairs,SB 827,Parker,Relating to the audit of an election using an electronic voting system.,,
Senate,Thursday,State Affairs,SB 964,Hughes,Relating to the appearance of a personal identification certificate or driver's license issued to a person who is not a citizen of the United States.,,
Senate,Thursday,State Affairs,SB 1209,Hughes,Relating to the uniform election date.,,
Senate,Thursday,State Affairs,SB 1210,Hughes,Relating to the jurisdiction of the Texas Supreme Court and the Court of Criminal Appeals.,,
Senate,Thursday,State Affairs,SB 1386,Huffman,Relating to testimony or the production of evidence before the legislature or a legislative committee.,,
Senate,Thursday,State Affairs,SB 1470,Hughes,Relating to requiring the Department of Public Safety to share data for the purpose of maintaining the statewide voter registration list.,,
Senate,Thursday,State Affairs,SB 2035,Hughes | et al.,"Relating to contributions, expenditures, and related activities for supporting or opposing a ballot measure; creating criminal offenses; providing a civil penalty.",,
Senate,Thursday,State Affairs,SJR 37,Birdwell,Proposing a constitutional amendment clarifying that a voter must be a United States citizen.,,
Senate,Thursday,State Affairs,SB 1386,SB 1386 SB 2035,,,
